id	redshift	xray_boxcar_2to10keV	xray_boxcar_0p5to2keV	galex.FUV	galex.FUV_err	galex.NUV	galex.NUV_err	u_prime	u_prime_err	g_prime	g_prime_err	r_prime	r_prime_err	i_prime	i_prime_err	z_prime	z_prime_err	UKIRT_WFCJ	UKIRT_WFCJ_err	ukirt.H	ukirt.H_err	ukirt.Ks	ukirt.Ks	WISE1	WISE1_err	WISE2	WISE2_err	WISE3	WISE3_err	WISE4	WISE4_err	PSW	PSW_err	PMW	PMW_err	PLW	PLW_err
2360	0.2899608	nan	4.635	nan	nan	nan	nan	5054.0	949.1	25265.0	477.5	94194.0	857.1999999999999	160640.0	1205.0	215170.0	3765.0	303130.0	6420.0	406220.0	10900.0	534090.0	16309.999999999998	358120.0	12530.0	302010.0	17520.0	nan	nan	2600000.0	nan	nan	nan	nan	nan	nan	nan
2363	0.4737327	6.976999999999999	24.580000000000002	12488.0	896.7	21101.0	822.2	25405.0	973.0	40360.0	464.1	43214.0	527.2	69900.0	685.0	87679.0	2096.0	121680.0	3744.0	176720.0	6409.0	260730.00000000003	9047.0	401450.0	13250.0	601490.0	22260.0	999060.0	136200.0	3470400.0	874100.0	nan	nan	nan	nan	nan	nan
2368	0.7315395	7.006	0.719	nan	nan	nan	nan	7240.8	665.4	11964.0	300.3	19961.0	427.20000000000005	21257.0	552.6999999999999	79783.0	2202.0	38241.0	3642.0	52503.0	6305.0	88895.0	8907.0	309620.0	11150.0	669930.0	24790.0	3011800.0	180700.0	8106400.0	1240000.0	nan	nan	nan	nan	nan	nan
2373	0.5697359	1.857	4.719	nan	nan	nan	nan	2463.2999999999997	623.0	9252.0	282.2	25854.0	465.4	49890.0	703.5	68405.0	2360.0	101220.0	8102.0	146650.0	11530.0	240250.0	18320.0	395570.0	12260.0	481760.0	19750.0	1232600.0	147100.0	2470700.0	1080000.0	59182000.0	10380000.0	32913000.0	10270000.0	nan	nan
2379	0.663527	4.284	15.68	nan	nan	nan	nan	26435.0	956.9	38657.0	436.8	39808.0	477.7	39109.0	555.4	40187.0	1616.0	49900.0	3645.0	54724.0	6083.0	65888.0	9136.0	97370.0	7108.0	156180.0	14840.0	386920.0	170200.0	nan	nan	nan	nan	nan	nan	nan	nan
2387	0.3615238	1.9880000000000002	8.262	10676.0	1800.0	40209.0	2025.9999999999998	21357.0	969.6	28242.0	412.3	49153.0	580.0	64617.00000000001	710.8	94083.0	2286.0	122560.0	6357.0	150990.0	11230.0	195960.0	16280.000000000002	146830.0	8076.000000000001	139070.0	15160.0	637730.0	139300.0	nan	nan	nan	nan	nan	nan	nan	nan
2388	0.5424306	nan	3.766	nan	nan	nan	nan	6912.8	701.6	12716.0	302.59999999999997	18285.0	407.7	28903.0	589.6	38131.0	2021.0	49489.0	3664.0	53339.0	6080.0	78360.0	9112.0	156470.0	8293.0	210490.0	17050.0	521740.0	155400.0	2645000.0	1259000.0	nan	nan	nan	nan	nan	nan
2390	0.19587	7.677	13.31	nan	nan	nan	nan	114440.0	2472.0	230900.0	1178.0	424350.0	1697.0	640530.0	2370.0	728360.0	7356.0	753450.0	8453.0	871510.0	11800.0	1085800.0	18540.0	947170.0	26520.0	1090500.0	31620.0	5134600.0	172400.0	9654500.0	1097000.0	51898000.0	10050000.0	35136000.0	10140000.0	nan	nan
2407	0.4918179	3.906	2.66	30169.0	1492.0	68007.0	1383.0	95406.0	1860.0	116720.0	770.3	110140.0	815.0	156300.0	1157.0	145930.0	2991.0	148460.0	4589.0	172310.0	6344.0	219990.0	9799.0	402930.0	12490.0	645690.0	22600.0	2137100.0	140800.0	7485500.0	941800.0	nan	nan	nan	nan	nan	nan
2413	0.6570781	3.82	13.729999999999999	nan	nan	nan	nan	31941.0	1089.0	49680.0	506.70000000000005	53733.0	574.9	60127.0	715.5	70524.0	2207.0	86277.0	3720.0	104030.0	6166.0	130220.0	8964.0	186910.0	8598.0	254930.0	16320.0	457420.0	154500.0	3571500.0	1098000.0	nan	nan	nan	nan	nan	nan
