       id  redshift  xray_boxcar_2to7keV  xray_boxcar_2to7keV_err  cfht.megacam.u      cfht.megacam.u_err  cfht.megacam.g      cfht.megacam.g_err  cfht.megacam.r      cfht.megacam.r_err  cfht.megacam.inew   cfht.megacam.inew_err  cfht.megacam.z      cfht.megacam.z_err   WFCAM_Y             WFCAM_Y_err   WFCAM_J            WFCAM_J_err   WFCAM_K            WFCAM_K_err       N2                N2_err      N3                 N3_err      N4                N4_err      S7                 S7_err     S9W               S9W_err     S11               S11_err     L15               L15_err    L18W              L18W_err    L24              L24_err  PACS_green      PACS_green_err  PACS_red        PACS_red_err 
 61006530       1.1            1.439e-06    3.372420643988528e-07         0.01091   0.0016218141077201172         0.01533   0.0021871646028591447          0.0142   0.0020223748416156686            0.01943    0.002795594570033359         0.02933   0.0042170355701606314   0.03385    0.005074113223017397   0.03578   0.005479469317370068   0.04814   0.007377173984663776   0.0783  0.013178349669059477  0.0917   0.013567936468011636  0.0841  0.012680228704562075  0.0875   0.014370890717001504   0.116  0.018413310403075273   0.145  0.042171198702431974   0.276   0.04449460641471054   0.333   0.06024060092661759  0.537  0.09718379494545375       6.816  1.2044200097972468       nan                 nan 
 61006993       0.3            1.688e-06   3.4684642134524036e-07        0.009325    0.001396837946935864         0.04107    0.005860021245695276          0.1001    0.014291259566602238             0.1369     0.01950964120633693          0.2029    0.028914427194741386    0.2195    0.032671738551843243    0.3059    0.04551305417130343    0.4513    0.06713275579029956     0.49   0.07188713375841327   0.393   0.057300785334932366   0.289  0.042381717756598776   0.246    0.04841539011512765    0.33   0.04883646178829912   0.372  0.058926479616552695   0.656   0.09571546374541577    0.81   0.12814636163387552   1.22  0.18494593804677087       9.245   1.499033105038044       nan                 nan 
 61007097       0.2            2.487e-06   3.8968152381143247e-07        0.008273   0.0012305877823219277         0.03577    0.005103384073338005         0.07948    0.011333891829376176             0.1139    0.016257063080396778          0.1768     0.02523058461470919    0.2116     0.03147436417149678    0.2949    0.04388519226345033    0.4193     0.0623904231432998     0.42    0.0608276253029822   0.296   0.043079577528104894   0.205  0.031945265689926575    0.15    0.02259668117224297   0.266  0.040019620188102734   0.335   0.05006086295700465   0.316   0.06772422018746321    0.25   0.05121611074652194  0.109  0.07262265486747231         nan                 nan       nan                 nan 
 61007100       1.5            1.675e-06    2.670585141874342e-07         0.03816   0.0056746679197993595         0.04545    0.006480850638612187         0.04969    0.007084734363404178            0.04492    0.006408039013614072         0.04606    0.006623657297898194   0.05464    0.008189340388578313   0.04804  0.0071977785461904845   0.07353    0.01102137509569473    0.144  0.025876823607235876     0.2    0.03465385981387932     0.3  0.047015316653192925   0.553     0.0788449744752321   0.736   0.11688284733013651   0.858   0.12441724157045116    1.32   0.18880942773071477    1.68   0.23971858501167573    2.7  0.38897300677553454       5.964   1.207556607368781       nan                 nan 
 61007776       1.7            4.972e-07   1.7712164859214695e-07             nan                     nan             nan                     nan        0.001118   0.0001791626077059608           0.002469   0.0003778301337903053        0.004779   0.0007670648016953978   0.01003    0.001665805811011596   0.01519   0.002519416797594237   0.05327   0.008166580006342926   0.0807  0.012850093384874679    0.15   0.021931712199461308   0.184  0.027102951868754076   0.261   0.037913849712209395   0.258  0.037635090009192226     nan                   nan    1.29   0.18456706098326428     1.5   0.21641626556245722   1.55  0.26993702969396405       17.88  2.8582938967153115     55.27   7.975602108931965 
 61007815       1.0            1.194e-06    2.725460695001856e-07       0.0006881  0.00013573435858322682       0.0006753   0.0001084036018774284       0.0007249  0.00011642169084839818           0.001677   0.0002846459028336786         0.00288   0.0005546350151225579  0.002195   0.0005884694129689326  0.003145   0.000944876314657109   0.01063  0.0020990638389529748      nan                   nan  0.0298   0.008969503888175755  0.0434  0.009534972469808185  0.0524   0.021449885780581678  0.0821  0.019058963770362754  0.0725  0.016480367107561653   0.181   0.03275515226647557   0.181  0.040204726090349134  0.287  0.12533032354542137         nan                 nan       nan                 nan 
 61008115       1.2            6.246e-07   1.8864053541060577e-07         0.02714    0.004038055967913273         0.02299    0.003280396469940791         0.02731    0.003897019502132367            0.02682    0.003827012411790691         0.03592      0.0051639678542764   0.03922    0.006007044531214997   0.03644   0.005583156454909714    0.0427    0.00654480710181744   0.0585   0.00903088589231422  0.0928   0.013715990667830013   0.134   0.02457478382407463   0.239   0.034876496383667896   0.298   0.04657982395844793   0.323  0.054341328655085355   0.491   0.07305901723948935   0.631   0.09269314969295196  0.826  0.13281099352086784         nan                 nan       nan                 nan 
 61008262       1.4             3.07e-07   1.1613134805038646e-07       0.0007685  0.00014249885087255968        0.001519   0.0002324857199915728        0.001331  0.00022628435650747048           0.001204  0.00021738712013364545        0.004087   0.0007384176934499878  0.004803   0.0011455514348993675    0.0136  0.0026806156009394557   0.02101   0.003895202305400838   0.0377  0.006190395787023638  0.0595    0.00901306828998871  0.0713   0.01571104388638769   0.121    0.02086648029735729   0.209  0.030856117707838752   0.319   0.04787588119293472   0.669    0.0975531137381068   0.919    0.1326804431708004   1.55   0.2293163753420152         nan                 nan       nan                 nan 
 61008428       1.1            1.047e-06    2.490744667765044e-07       0.0008273   0.0001532489898824785        0.003173  0.00045635872951002045        0.007384   0.0010617926162862503            0.01474   0.0021173275608653472         0.03306   0.0047566832982657145   0.04503   0.0067511413109192136   0.06693    0.01002981300922405    0.1123   0.016803657339995958    0.151  0.022146105752479373   0.179     0.0261767072031606   0.141  0.020879894635749484  0.0769   0.013095651950170331   0.062  0.011766052864066182  0.0776  0.016977267153461418  0.0872  0.023015829335481266     nan                   nan    nan                  nan         nan                 nan       nan                 nan 
 61008665       1.2            6.238e-07   1.4329083850686338e-07        0.001163  0.00019298106124695242        0.001299  0.00019098170069407173        0.001692   0.0002589297974355211           0.002561   0.0003914118163775846        0.005693   0.0009139625211134208  0.007754   0.0014371308778256765   0.01196   0.002094950118737914   0.04431   0.006793839930407546   0.0466  0.008551286452926249  0.0567   0.011469516118825589  0.0888  0.013351228407903147   0.232    0.03388701816330259    0.33   0.04766927731778614   0.452   0.08357709016231661   0.618   0.09049005470216051    0.74    0.1078079774413749  0.922  0.18120938165558648       5.053   1.005230864030746       nan                 nan 
