     id   redshift  xray_boxcar_2to10keV  xray_boxcar_2to10keV_err  xray_boxcar_0p5to2keV  xray_boxcar_0p5to2keV_err          galex.FUV       galex.FUV_err  galex.NUV       galex.NUV_err             u_prime         u_prime_err             g_prime         g_prime_err            r_prime         r_prime_err            i_prime         i_prime_err   z_prime         z_prime_err  UKIRT_WFCJ      UKIRT_WFCJ_err    ukirt.H         ukirt.H_err   ukirt.Ks        ukirt.Ks_err      WISE1           WISE1_err      WISE2           WISE2_err               WISE3           WISE3_err      WISE4           WISE4_err         PSW             PSW_err 
   2563  0.3047622                 1.341       0.18964603871423202                  4.072         0.5758677625983243                nan                 nan        nan                 nan              4484.0    882.261117810368   7907.099999999999  1148.9967006915208            14989.0   2157.211732769874            19523.0  2815.7071633960804   26970.0   4185.253516813527     44409.0   9387.316689022482    41639.0  12706.837782076233    57649.0   8152.799765724656    48532.0   9159.882994885906    42936.0  14666.032248703124                 nan                 nan  2600000.0                 nan         nan                 nan 
   2598     0.3608                 6.437        0.9103292700995613                   26.9         3.8042344827836256  7474.599999999999   1367.524282490077     7535.0  1346.2391280898057             13021.0  2051.2441371031387             15412.0  2206.5186538980356            27419.0  3910.3134746462465            34805.0  4968.7417109364815   63710.0   9358.158098685873     63395.0  11663.834768205523    85468.0  17373.715218110377   116390.0  16460.031652460453    70214.0  12041.172572469843    87827.0   18752.97679249884                 nan                 nan  2600000.0                 nan         nan                 nan 
   2667  0.1100022                 25.25        3.5708892449920655                  95.72         13.536852219035268            92579.0  13346.367476583282   100030.0  14248.397173015637            144260.0  20546.600594745592            250830.0   35491.48480973993           471680.0   66726.05374964116           756620.0  107027.94123031611  899970.0  127463.50425906233   1014500.0  143694.05414282109  1273000.0  180491.68429598078  1477000.0  208879.34316250615  1114900.0  160313.63104864166  1411300.0  203193.81363614395           3620000.0   545822.7642742652  5876800.0   1490269.963731404         nan                 nan 
   2700   0.277063                  8.73         1.234608439951712                  18.02         2.5484128393963172                nan                 nan        nan                 nan  2545.7000000000003   782.8887595310078              9810.5  1421.6251984964254            35813.0   5093.897401793641            60445.0     8585.3715650518   89374.0  12922.474125336834    147000.0   22074.44062711443   198880.0   30798.82445808606   303400.0    42907.2394823997   193210.0   28854.96764856963   199540.0   32419.83701377908            965890.0   215362.7633598715  2739200.0  1333506.7801852378         nan                 nan 
   2782  0.2755461     7.204000000000001         1.018799450333578     1.6869999999999998        0.23857782797234112                nan                 nan     7439.5   1580.924794226468              9724.3  1609.5458675663765             23334.0  3323.3994057290192            58788.0   8338.537253019862            83376.0  11822.986506378158  119880.0  17186.034359327925    178050.0   26029.40788800237   236480.0   35297.59068265142   308440.0  43620.003117835746   285510.0   41809.58863705789   389070.0   57624.67959130011            981740.0  221588.71485705223        nan                 nan         nan                 nan 
   2850  0.3549812                 1.936        0.2737917456754312                  9.947         1.4067182304925177                nan                 nan        nan                 nan              5858.5  1064.8950394287692             11064.0  1592.7359103128179            23109.0  3299.0237919724073            31403.0   4480.961846523579   43259.0   6420.095841963733     48886.0   9555.314537994027    76577.0  15687.677921859566    78356.0  11081.211789330624    63449.0  11026.240339299702    76142.0  16604.869264164656                 nan                 nan  2600000.0                 nan         nan                 nan 
   2878  0.4084936                 21.15         2.991061684419096                  124.3          17.57867458029757                nan                 nan        nan                 nan              5547.3   986.4353733519496              9360.5  1348.3958821503427            15410.0  2208.6744893713967            24904.0   3560.577666615349   36997.0    5532.48264163567     58096.0   9196.089675508825    67935.0  11232.276950823461    87171.0  12327.841044562509   102710.0  16029.401829138853   120230.0  21917.435023286827                 nan                 nan  2600000.0                 nan         nan                 nan 
   3015  0.2801454    0.5490999999999999       0.07765446670990664                  5.597         0.7915353308602214                nan                 nan        nan                 nan              3618.7   850.7384755610858             17711.0  2529.1462808623783            50368.0  7147.4459053566825            75292.0  10680.641355742642  101070.0   14540.32743785366    154880.0  22840.640621488707   191350.0  28714.687287170655   212850.0   30101.53567511133   153900.0   23242.73082062433   157050.0  26497.104558800384            412990.0  150219.08933953766        nan                 nan         nan                 nan 
   3092  0.1963534     4.787999999999999        0.6771254536642378                  26.14          3.696754252043271            21752.0  3427.2599959734603    22859.0  3431.5417263964605             33803.0   4919.900931929423             52020.0   7376.604164519064            97153.0  13761.473323013057           146720.0  20772.617880517613  176570.0  25138.140623363535    228440.0  32560.409579733485   277130.0   39713.63699033369   332340.0   46999.97353190744   243680.0   35683.98027126458   247530.0   37649.98828685077            411710.0  135633.15406640075  2321600.0    880224.642463502         nan                 nan 
   3232  0.4127136                 1.089       0.15400785694243005                  3.855         0.5451793282948282                nan                 nan        nan                 nan   8084.300000000001  1289.5928387673378             12252.0  1752.2417298991597            21180.0  3018.1561407587915            30543.0   4349.800982803696   40779.0   6005.623433083363     52133.0  10373.196362741815    71762.0  15010.639322826995    79962.0  11308.334487447744    83105.0  13543.824478336981    73456.0  16703.355313229735            354100.0  143426.27444091268        nan                 nan         nan                 nan 
   3335  0.2415337     7.933000000000001        1.1218956190305764                  9.873         1.3962530501309567                nan                 nan        nan                 nan   6750.200000000001  1337.5670490857644             25910.0   3692.492112381555            71420.0  10128.113250255448           110460.0  15660.436041183528  141250.0  20295.442690416978    156560.0   23751.40166390186   218600.0   34533.62564226351   310360.0  43891.532121811375   262560.0   38381.45772374989   303690.0  45452.906639729874           1252100.0   219197.9201543664  3747600.0  1002542.3258895357         nan                 nan 
   3388  0.3938024                0.9523       0.13467555754478985                    2.4        0.33941125496954283                nan                 nan        nan                 nan              5266.5    992.962907162196   8510.400000000001  1233.4221512523604            16860.0   2418.448502656197            20848.0   3004.782561184753   27494.0   4383.489103442599     35919.0   7968.112211810273    43325.0  11924.513092784962    32923.0   4656.015311400941    55671.0   9772.886207257301    39122.0  12447.213249559118                 nan                 nan  2600000.0                 nan         nan                 nan 
   3487  0.5936148    1.3539999999999999       0.19148451634531705                    nan                        nan                nan                 nan        nan                 nan              1899.7  501.35824696518165              2314.8  365.78712497844975             4034.0   614.9254995525881  6323.599999999999   961.8446595994595   10818.0  2039.7018115401086     15556.0  4271.1478223072545    19070.0   6435.366889307867    50943.0   7204.428150797258   104820.0  16227.885167205244   158350.0  25651.404444981174            819650.0   200095.3084157647  3351400.0  1069280.0798668233         nan                 nan 
   3647  0.3405867    0.8928999999999999       0.12627512898429363                  2.803        0.39640406153317853                nan                 nan        nan                 nan   7849.700000000001  1341.7409443704103             16320.0  2334.7599983724235            34675.0   4933.526660513755            42946.0   6113.687783981122   58194.0     8532.4285358859     90259.0  14551.697860387289   125720.0  20745.757831421826   139700.0  19756.563466352138   114510.0  17728.299354422015   123260.0   21932.09182909829            459230.0  200887.66477312637        nan                 nan         nan                 nan 
   3909  0.3701844                 4.358        0.6163142704821948                  13.34         1.8865608922057089                nan                 nan        nan                 nan              2531.1   702.2727277917035              6632.5   970.3879713805196            13001.0  1878.1885608213038            19686.0  2839.2133294277132   24622.0   4019.067886960857     31188.0   6973.910730716303    48742.0  11772.191821406921    65274.0   9231.137607034141    97102.0  15113.481137051122   109550.0     19763.019759136                 nan                 nan  2600000.0                 nan         nan                 nan 
   3936  0.3485558                 1.822       0.25766971106437797                  1.789         0.2530028063085467                nan                 nan        nan                 nan                 nan                 nan              4216.0   633.2377199756818            15830.0  2271.5131718746425            25391.0  3633.2382071645125   36219.0   5475.095909662223     51795.0   9162.939784807057    90669.0   16006.05358044262   104590.0  14791.259648860201    96744.0  14824.617860842147    92646.0  17301.896610487536                 nan                 nan  2600000.0                 nan         nan                 nan 
   3966  0.3546876                 2.169        0.3067429216787243      6.648000000000001         0.9401691762656337                nan                 nan        nan                 nan             12186.0  1866.3719270284798             15137.0  2160.5453524515515            24385.0   3471.393200143136            32791.0   4667.298150964861   47312.0   6903.021865820794     55830.0   8610.799846704138    68341.0  11078.450731939012    93872.0  13275.505552708719   106470.0  16274.146459952975   101870.0   18125.94654080167                 nan                 nan  2600000.0                 nan         nan                 nan 
   3976  0.1210506    12.290000000000001         1.738068468156534                  37.42          5.291987150400122             8532.5  1955.6564434992154    13678.0  2431.9600490139637             34420.0   5040.396016187617            109710.0   15534.33313663641           208750.0  29542.418418267654           314090.0   44446.77110882184  371130.0   52683.85675897314    509750.0   72339.87433635753   641150.0   91216.27737964316   774840.0  109578.92366691689   667460.0   96097.74935970145   711260.0  103289.18942464405           2816000.0   429368.5712764734  4871100.0  1157668.5467783946         nan                 nan 
   3982  0.3884351                   nan                       nan                  3.907         0.5525332388191683            10729.0  1889.4721008789732    11351.0  1859.7378901339835             11427.0  1767.2522938165905  16123.000000000002   2301.492215932959            27242.0  3879.0483523668536            34853.0   4962.802649713165   53327.0  7757.6093340667785     79182.0  11759.416757645764    79326.0  12327.798121319152   108390.0  15328.660802561977   135400.0  20355.737176530845   165210.0   26845.02341217083            452090.0  169796.92977789676        nan                 nan         nan                 nan 
   4028  0.3929791                   nan                       nan     3.3400000000000003        0.47234732983261385                nan                 nan        nan                 nan                 nan                 nan   4502.799999999999   683.7434875741048            17213.0  2472.9350234084195            29443.0   4214.854438767726   40632.0   6192.418952235063     58974.0   10158.10289965602    75857.0   14378.03943449871    78761.0  11138.487438606735    60149.0  10082.589598907614    32481.0  11957.504222035634            286300.0   141611.5948642624        nan                 nan         nan                 nan 
   4159  0.3444124                   nan                       nan                  2.379         0.3364414064885593                nan                 nan        nan                 nan              8288.3  1329.1147045308014             12367.0  1769.7984122492596            20608.0  2938.7068057225447            25594.0  3653.7867384399983   35681.0   5311.775241856531     33740.0  10474.892696347777    36120.0  11938.056290703273    57698.0   8159.729412180284    69571.0  11269.804648706206    85041.0  16744.011873502717                 nan                 nan  2600000.0                 nan         nan                 nan 
   4214  0.2319613                   nan                       nan                  9.725          1.375322689407835            15379.0  2450.4925668118235    21745.0   3237.756862397175             31966.0   4708.608299699605             74627.0  10575.198775436802           162530.0   23008.01151773008           235680.0   33355.37234089885  286180.0  40672.608386972184    305990.0   45023.35507267312   370120.0  56895.222013803585   425890.0   60229.94140790775   296500.0  43197.099439661455   290820.0   43920.30906084337           1442400.0  247463.86645326627  3980500.0   1035481.730886644         nan                 nan 
   4272  0.3911264                   nan                       nan                  8.403         1.1883636564621118                nan                 nan        nan                 nan              9266.8  1522.8351863547152             15586.0   2230.952301148548            38873.0   5524.342152691124            59528.0   8449.794205778033   83577.0  12045.689169989402    113380.0   17042.96523495838   144950.0  21938.548402298635   203270.0  28746.719082357904   254930.0   37266.17215384483   301180.0   45380.87094801068            421690.0  127329.09770354928        nan                 nan         nan                 nan 
   4295  0.3034259                  13.6        1.9233304448274096     53.940000000000005          7.628267955440476                nan                 nan    12286.0   2021.898098322465             13778.0  2201.1909685440746             31572.0   4491.348808542931            83892.0   11888.65563636192           128060.0  18145.451248177877  177960.0  25456.502273486043    238490.0     34065.176617772   299580.0   42904.97706560394   389270.0   55051.09134249747   334220.0   48535.77101478867   351260.0   52347.41495050162           1018500.0   202334.5126269861  2520100.0   985593.8769087397         nan                 nan 
   4387  0.2783752                 3.311       0.46824611050173176                  5.354         0.7571699412945551                nan                 nan        nan                 nan              7313.7   1197.806730570504             15427.0  2201.7222849396785            38381.0   5449.057832322943            56255.0   7982.379799282919   82099.0  11790.488540344712    112870.0  16604.644350301514   146280.0   21723.87923461185   189850.0   26848.84448165321   155320.0             23298.0   199540.0  31487.856897540678            721410.0   162280.8915491901  2880400.0   957292.9401181228         nan                 nan 
   4409  0.2551668                 1.627       0.23009254659810258                  5.038         0.7124807927235653                nan                 nan        nan                 nan              4673.2    935.212732376971              7560.1  1100.6983238835246            17693.0   2538.239929557488            28007.0  4011.0509819746744   41104.0  6217.8473220239175     45955.0   8895.544755662802    54248.0  11491.825184886866    74636.0  10555.124344127833    56238.0   9838.776188124213    54705.0  13579.335053676228                 nan                 nan  2600000.0                 nan         nan                 nan 
   4602  0.1662703                 2.624        0.3710896387667002                  26.29          3.717967455478867             8419.2   1501.992654043288    13223.0  2092.1696441732447             20625.0  3106.8814750485735             49206.0    6979.41447472494            99565.0  14103.127197540267           146310.0  20722.794285520475  170560.0  24380.372761711416    218680.0   31346.98148147601   263480.0   38021.08532117409   280680.0   39694.14626868803   234440.0  34212.218168367865   223270.0    34211.6757555078                 nan                 nan  2600000.0                 nan         nan                 nan 
   4624  0.5206637                 8.046        1.1378762322853924                    nan                        nan                nan                 nan        nan                 nan              810.22   386.8583448343851              2177.0  348.08093886336263             6615.8   973.4074957590989            15540.0  2233.4002865585917   21757.0   3327.175525877768     38829.0   6514.510712248465    60483.0   9838.846974112363    70949.0  10033.703803680872    90204.0   14194.13288369529   100100.0  18694.499190938495            331460.0  169029.80397551195        nan                 nan         nan                 nan 
   4804     0.4863                0.4915       0.06950859659063763     1.1139999999999999        0.15754339084836277                nan                 nan     6254.8  1343.3433890111642  3430.8999999999996    801.380269410222              7461.9  1090.0379086068522            21321.0  3048.9350304655554            34808.0  4962.7449340057765   49314.0   7265.451184888659     73595.0  11468.984458093926   103120.0  16231.722551842735   119250.0  16864.496731299158   112210.0   17238.18351799284    88803.0   17796.95356458515            568100.0  186854.06658673502        nan                 nan  40859000.0  12107797.389285963 
   4951  0.4132244                   nan                       nan                 0.9707        0.13727771049955634                nan                 nan        nan                 nan              1616.7   579.8765280643804  3294.7000000000003  510.62723370380473  9960.800000000001  1446.9669045282276            15310.0  2217.8806302414023   18643.0  3147.4100431942456     24486.0   5883.904564147858    24033.0   6675.082529826878    41054.0   5805.912358966505        nan                 nan        nan                 nan            275960.0  107811.54127457783        nan                 nan         nan                 nan 
   5005  0.4055346                0.6952       0.09831612685617758     2.8440000000000003         0.4022023371389083                nan                 nan        nan                 nan   6686.200000000001  1135.7808101918258              9532.1  1372.5660268999814            13269.0  1907.7360692716381            19607.0  2816.5269020550827   21316.0  3437.5196173985687     34301.0  5854.6098093724395    45794.0   7877.059395485096    56131.0    7938.12214695642    74409.0  11842.322813536202    88395.0  16507.026397870697                 nan                 nan  2600000.0                 nan         nan                 nan 
   5087  0.3893034    0.8432999999999999       0.11926062971492311                  2.083        0.29458068504231577                nan                 nan        nan                 nan              3785.7   767.8350407476856              8774.1  1267.9152086003228            20645.0  2948.9905900155054            30531.0   4352.953707541582   43508.0   6404.979490989804     56412.0   9253.809803534974    66597.0  11109.935066416905    78115.0  11047.129242477433    85670.0  13369.917501615333    86383.0   16654.81473268316            396670.0  142046.44232785274        nan                 nan         nan                 nan 
  57494      0.255                 4.072        0.5758677625983243                  7.397         1.0460937720873784                nan                 nan        nan                 nan              3110.0   952.0784421464442             14920.0  2143.5097970384927            40294.0   5732.115575422394            66975.0   9517.330892114658   94443.0  13638.041244254986    104640.0  15754.854109130936   123360.0   19754.73654595272   183100.0   25894.25032705137   162340.0   24043.87574830647   131710.0  21734.545819961364            722780.0   159467.7979028995        nan                 nan         nan                 nan 
 129884   0.371851                 3.815        0.5395224740453358      4.226999999999999         0.5977880728151073            11003.0  1802.4129216136905    17059.0  2568.6450182927188             12025.0  1866.1326480183557             17132.0  2445.2821595881323            34191.0   4859.311682738617            50096.0   7119.774243611942   72293.0   10452.77632880375     91693.0  14616.673697527769   127510.0   21091.69509546352   150110.0   21228.75978478253   135280.0   20203.28233233402   108850.0  19305.153457043536  259850.00000000003  104972.51711757702        nan                 nan         nan                 nan 
