# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
1.000000e-03 7.880077e+02 3.353835e+02 4.526241e+02 9.999992e-01
1.071891e-03 9.042509e+02 3.940569e+02 5.101940e+02 9.999990e-01
1.148951e-03 1.001732e+03 4.588772e+02 5.428543e+02 9.999987e-01
1.231551e-03 1.108657e+03 5.299940e+02 5.786626e+02 9.999982e-01
1.320088e-03 1.218766e+03 6.063379e+02 6.124285e+02 9.999978e-01
1.414991e-03 1.324209e+03 6.876060e+02 6.366034e+02 9.999969e-01
1.516717e-03 1.360306e+03 7.252150e+02 6.350913e+02 9.999964e-01
1.625756e-03 1.265941e+03 6.784895e+02 5.874510e+02 9.999955e-01
1.742633e-03 1.264953e+03 6.108181e+02 6.541348e+02 9.999945e-01
1.867914e-03 1.511777e+03 6.951392e+02 8.166382e+02 9.999933e-01
2.002200e-03 1.671434e+03 7.841537e+02 8.872807e+02 9.999904e-01
2.146141e-03 1.764374e+03 8.745379e+02 8.898357e+02 9.999885e-01
2.300430e-03 1.545883e+03 7.130880e+02 8.327950e+02 9.999864e-01
2.465811e-03 1.621814e+03 5.848480e+02 1.036966e+03 9.999836e-01
2.643081e-03 1.995252e+03 6.658004e+02 1.329452e+03 9.999800e-01
2.833096e-03 2.252034e+03 7.556044e+02 1.496430e+03 9.999716e-01
3.036771e-03 2.482433e+03 8.468895e+02 1.635544e+03 9.999650e-01
3.255089e-03 2.692995e+03 9.394569e+02 1.753538e+03 9.999530e-01
3.489101e-03 2.892704e+03 1.036159e+03 1.856546e+03 9.999374e-01
3.739937e-03 3.074305e+03 1.134544e+03 1.939761e+03 9.999065e-01
4.008806e-03 3.230868e+03 1.231909e+03 1.998958e+03 9.998892e-01
4.297005e-03 3.185611e+03 1.189798e+03 1.995813e+03 9.998351e-01
4.605922e-03 3.173799e+03 1.176522e+03 1.997277e+03 9.997856e-01
4.937048e-03 3.337402e+03 1.261067e+03 2.076335e+03 9.997184e-01
5.291979e-03 3.500604e+03 1.343338e+03 2.157266e+03 9.995390e-01
5.672426e-03 3.630089e+03 1.422895e+03 2.207194e+03 9.992312e-01
6.080224e-03 3.738585e+03 1.498794e+03 2.239790e+03 9.989092e-01
6.517340e-03 3.828681e+03 1.570268e+03 2.258413e+03 9.988574e-01
6.985880e-03 3.899509e+03 1.638604e+03 2.260905e+03 9.987464e-01
7.488104e-03 3.953029e+03 1.661625e+03 2.291404e+03 9.986296e-01
8.026434e-03 4.045839e+03 1.722426e+03 2.323413e+03 9.982326e-01
8.603464e-03 4.102481e+03 1.781328e+03 2.321153e+03 9.976964e-01
9.221979e-03 4.139860e+03 1.836983e+03 2.302877e+03 9.974346e-01
9.884959e-03 4.147645e+03 1.890600e+03 2.257045e+03 9.971851e-01
1.059560e-02 4.043706e+03 1.948625e+03 2.095080e+03 9.968266e-01
1.135733e-02 4.155204e+03 1.878241e+03 2.276963e+03 9.962383e-01
1.217383e-02 4.209874e+03 1.923485e+03 2.286389e+03 9.954079e-01
1.304902e-02 4.214703e+03 1.957403e+03 2.257301e+03 9.945715e-01
1.398713e-02 4.250259e+03 1.971295e+03 2.278963e+03 9.933896e-01
1.499268e-02 4.284055e+03 2.002104e+03 2.281951e+03 9.921530e-01
1.607053e-02 4.305578e+03 2.033430e+03 2.272148e+03 9.906342e-01
1.722586e-02 4.323608e+03 2.063621e+03 2.259987e+03 9.888753e-01
1.846425e-02 4.328162e+03 2.097163e+03 2.230999e+03 9.871224e-01
1.979167e-02 4.338122e+03 2.093716e+03 2.244407e+03 9.850911e-01
2.121452e-02 4.378233e+03 2.107760e+03 2.270472e+03 9.822215e-01
2.273966e-02 4.407905e+03 2.125968e+03 2.281937e+03 9.791661e-01
2.437444e-02 4.444331e+03 2.140389e+03 2.303942e+03 9.755069e-01
2.612675e-02 4.484682e+03 2.164870e+03 2.319812e+03 9.713105e-01
2.800504e-02 4.521580e+03 2.189357e+03 2.332223e+03 9.668682e-01
3.001836e-02 4.558151e+03 2.213715e+03 2.344436e+03 9.620479e-01
3.217642e-02 4.595044e+03 2.237649e+03 2.357395e+03 9.569001e-01
3.448962e-02 4.631930e+03 2.261533e+03 2.370397e+03 9.515650e-01
3.696913e-02 4.662952e+03 2.280428e+03 2.382525e+03 9.462858e-01
3.962689e-02 4.700991e+03 2.282538e+03 2.418453e+03 9.384499e-01
4.247572e-02 4.752247e+03 2.283480e+03 2.468768e+03 9.275750e-01
4.552935e-02 4.810227e+03 2.293200e+03 2.517027e+03 9.156337e-01
4.880252e-02 4.874866e+03 2.297286e+03 2.577580e+03 9.023684e-01
5.231099e-02 4.955684e+03 2.288926e+03 2.666758e+03 8.859348e-01
5.607170e-02 5.070126e+03 2.262058e+03 2.808068e+03 8.636591e-01
6.010277e-02 5.350981e+03 2.206521e+03 3.144460e+03 8.156840e-01
6.442364e-02 5.741267e+03 2.428405e+03 3.312863e+03 7.878721e-01
6.905514e-02 6.012309e+03 2.678227e+03 3.334082e+03 7.822871e-01
7.401960e-02 6.194217e+03 2.871779e+03 3.322438e+03 7.807356e-01
7.934097e-02 6.288528e+03 3.012886e+03 3.275641e+03 7.824659e-01
8.504489e-02 6.296289e+03 3.090279e+03 3.206010e+03 7.854161e-01
9.115888e-02 6.340124e+03 3.138821e+03 3.201303e+03 7.794429e-01
9.771242e-02 6.425419e+03 3.183688e+03 3.241731e+03 7.682197e-01
1.047371e-01 6.431571e+03 3.216742e+03 3.214829e+03 7.658220e-01
1.122668e-01 6.397503e+03 3.251588e+03 3.145916e+03 7.701500e-01
1.203378e-01 6.387730e+03 3.281129e+03 3.106601e+03 7.723538e-01
1.289890e-01 6.381741e+03 3.287634e+03 3.094106e+03 7.700292e-01
1.382622e-01 6.365482e+03 3.278277e+03 3.087205e+03 7.637922e-01
1.482021e-01 6.334051e+03 3.244813e+03 3.089237e+03 7.508104e-01
1.588565e-01 6.308997e+03 3.148379e+03 3.160619e+03 7.323986e-01
1.702769e-01 6.318279e+03 2.884263e+03 3.434016e+03 6.983952e-01
1.825183e-01 6.379238e+03 2.470311e+03 3.908927e+03 6.552245e-01
1.956398e-01 6.425029e+03 1.983663e+03 4.441366e+03 6.125605e-01
2.097046e-01 6.470902e+03 1.625493e+03 4.845409e+03 5.718455e-01
2.247806e-01 6.474223e+03 1.429070e+03 5.045152e+03 5.606105e-01
2.409404e-01 6.496486e+03 1.316507e+03 5.179979e+03 5.712749e-01
2.582619e-01 6.482541e+03 1.246751e+03 5.235790e+03 5.851304e-01
2.768287e-01 6.465220e+03 1.190494e+03 5.274726e+03 6.011181e-01
2.967302e-01 6.370923e+03 1.147215e+03 5.223708e+03 6.116085e-01
3.180626e-01 6.213372e+03 1.098348e+03 5.115023e+03 6.207572e-01
3.409285e-01 5.960548e+03 1.057108e+03 4.903440e+03 6.207024e-01
3.654383e-01 5.647470e+03 1.010073e+03 4.637397e+03 6.185332e-01
3.917101e-01 5.297376e+03 9.661882e+02 4.331188e+03 6.113712e-01
4.198707e-01 4.907706e+03 9.207948e+02 3.986911e+03 6.010276e-01
4.500558e-01 4.515241e+03 8.751297e+02 3.640111e+03 5.889556e-01
4.824109e-01 4.108186e+03 8.284909e+02 3.279695e+03 5.714634e-01
5.170920e-01 3.699922e+03 7.784718e+02 2.921450e+03 5.485975e-01
5.542665e-01 3.315530e+03 7.280860e+02 2.587444e+03 5.245245e-01
5.941134e-01 2.970357e+03 6.810015e+02 2.289356e+03 5.030773e-01
6.368250e-01 2.638902e+03 6.363085e+02 2.002593e+03 4.824986e-01
6.826072e-01 2.310367e+03 5.903531e+02 1.720014e+03 4.568543e-01
7.316807e-01 1.998919e+03 5.442385e+02 1.454681e+03 4.230109e-01
7.842822e-01 1.720369e+03 5.007314e+02 1.219638e+03 3.813952e-01
8.406653e-01 1.482188e+03 4.616754e+02 1.020513e+03 3.365416e-01
9.011018e-01 1.275698e+03 4.262040e+02 8.494936e+02 2.925754e-01
9.658832e-01 1.094732e+03 3.932539e+02 7.014784e+02 2.501944e-01
1.000000e+00 1.013687e+03 3.778064e+02 6.358810e+02 2.293136e-01
1.047616e+00 9.117892e+02 3.576912e+02 5.540980e+02 2.025182e-01
1.097499e+00 8.208878e+02 3.387853e+02 4.821025e+02 1.778370e-01
1.149757e+00 7.393421e+02 3.208193e+02 4.185228e+02 1.556629e-01
1.204504e+00 6.654474e+02 3.034479e+02 3.619995e+02 1.360912e-01
1.261857e+00 5.976663e+02 2.863104e+02 3.113559e+02 1.189517e-01
1.321941e+00 5.361357e+02 2.695593e+02 2.665764e+02 1.043631e-01
1.384886e+00 4.797635e+02 2.529744e+02 2.267891e+02 9.190103e-02
1.450829e+00 4.284400e+02 2.367058e+02 1.917342e+02 8.113188e-02
1.519911e+00 3.822272e+02 2.209509e+02 1.612764e+02 7.190552e-02
1.592283e+00 3.410924e+02 2.058951e+02 1.351972e+02 6.406579e-02
1.668101e+00 3.040999e+02 1.913560e+02 1.127438e+02 5.752968e-02
1.747528e+00 2.711404e+02 1.775396e+02 9.360079e+01 5.208465e-02
1.830738e+00 2.422964e+02 1.647072e+02 7.758921e+01 4.749913e-02
1.917910e+00 2.169339e+02 1.527566e+02 6.417729e+01 4.361624e-02
2.009233e+00 1.945199e+02 1.415854e+02 5.293446e+01 4.031238e-02
2.104904e+00 1.748979e+02 1.312611e+02 4.363681e+01 3.755774e-02
2.205131e+00 1.577966e+02 1.217953e+02 3.600127e+01 3.520757e-02
2.310130e+00 1.426652e+02 1.130204e+02 2.964482e+01 3.308129e-02
2.420128e+00 1.293634e+02 1.049562e+02 2.440715e+01 3.112226e-02
2.535364e+00 1.177039e+02 9.759021e+01 2.011366e+01 2.928168e-02
2.656088e+00 1.074198e+02 9.085201e+01 1.656782e+01 2.753096e-02
2.782559e+00 9.830770e+01 8.467505e+01 1.363265e+01 2.591834e-02
2.915053e+00 9.026757e+01 7.904331e+01 1.122426e+01 2.439769e-02
3.053856e+00 8.314883e+01 7.390448e+01 9.244349e+00 2.295310e-02
3.199267e+00 7.685633e+01 6.924045e+01 7.615882e+00 2.156992e-02
3.351603e+00 7.132900e+01 6.505101e+01 6.277992e+00 2.023443e-02
3.511192e+00 6.622492e+01 6.105724e+01 5.167679e+00 1.896859e-02
3.678380e+00 6.163086e+01 5.737838e+01 4.252483e+00 1.776846e-02
3.853529e+00 5.750647e+01 5.400775e+01 3.498724e+00 1.660872e-02
4.037017e+00 5.378613e+01 5.090863e+01 2.877506e+00 1.547584e-02
4.229243e+00 5.039475e+01 4.802989e+01 2.364864e+00 1.436685e-02
4.430621e+00 4.728798e+01 4.534642e+01 1.941553e+00 1.331297e-02
4.641589e+00 4.455192e+01 4.296083e+01 1.591094e+00 1.232819e-02
4.862602e+00 4.214921e+01 4.084761e+01 1.301598e+00 1.139524e-02
5.094138e+00 4.008511e+01 3.902242e+01 1.062690e+00 1.049898e-02
5.336699e+00 3.837412e+01 3.750840e+01 8.657174e-01 9.633335e-03
5.590810e+00 3.704797e+01 3.634503e+01 7.029451e-01 8.862405e-03
5.857021e+00 3.612318e+01 3.555432e+01 5.688556e-01 8.143471e-03
6.135907e+00 3.541246e+01 3.495432e+01 4.581423e-01 7.576678e-03
6.428073e+00 3.475287e+01 3.438642e+01 3.664463e-01 7.004631e-03
6.734151e+00 3.404590e+01 3.375568e+01 2.902285e-01 6.313750e-03
7.054802e+00 3.345535e+01 3.322920e+01 2.261442e-01 5.780926e-03
7.390722e+00 3.767804e+01 3.750842e+01 1.696244e-01 5.339401e-03
7.742637e+00 5.706123e+01 5.693148e+01 1.297563e-01 4.851285e-03
8.111308e+00 1.012641e+02 1.011537e+02 1.104002e-01 4.212960e-03
8.497534e+00 1.722892e+02 1.721759e+02 1.132678e-01 3.438637e-03
8.902151e+00 2.420013e+02 2.418707e+02 1.305707e-01 2.758838e-03
9.326033e+00 3.058730e+02 3.057080e+02 1.650903e-01 2.229069e-03
9.770100e+00 3.040714e+02 3.039003e+02 1.711793e-01 1.951745e-03
1.023531e+01 2.685297e+02 2.683725e+02 1.571944e-01 1.788860e-03
1.072267e+01 2.255237e+02 2.253874e+02 1.363213e-01 1.684535e-03
1.123324e+01 1.808504e+02 1.807409e+02 1.095020e-01 1.629163e-03
1.176812e+01 1.469865e+02 1.468984e+02 8.805425e-02 1.549208e-03
1.232847e+01 1.177101e+02 1.176409e+02 6.924088e-02 1.426109e-03
1.291550e+01 9.438419e+01 9.433073e+01 5.345917e-02 1.250929e-03
1.353048e+01 7.785698e+01 7.781656e+01 4.041898e-02 1.020433e-03
1.417474e+01 6.880620e+01 6.877629e+01 2.991686e-02 7.394163e-04
1.484968e+01 7.459912e+01 7.457606e+01 2.305893e-02 4.764115e-04
1.555676e+01 8.407267e+01 8.405360e+01 1.907326e-02 2.875629e-04
1.629751e+01 9.516228e+01 9.514560e+01 1.668520e-02 1.527731e-04
1.707353e+01 1.056408e+02 1.056255e+02 1.528536e-02 6.682315e-05
1.788650e+01 1.125640e+02 1.125496e+02 1.443648e-02 2.054625e-05
1.873817e+01 1.120819e+02 1.120683e+02 1.358820e-02 -7.673651e-06
1.963041e+01 1.039777e+02 1.039655e+02 1.222757e-02 -5.510567e-05
2.056512e+01 9.426680e+01 9.425619e+01 1.060810e-02 -1.066957e-04
2.154435e+01 8.509481e+01 8.508578e+01 9.031976e-03 -1.553328e-04
2.257020e+01 7.714800e+01 7.714035e+01 7.652163e-03 -1.972495e-04
2.364489e+01 7.002925e+01 7.002282e+01 6.427397e-03 -2.394519e-04
2.477076e+01 6.382737e+01 6.382196e+01 5.410465e-03 -2.966981e-04
2.595024e+01 5.817484e+01 5.817030e+01 4.535014e-03 -3.420946e-04
2.718588e+01 5.306710e+01 5.306331e+01 3.794234e-03 -3.753328e-04
2.848036e+01 4.848766e+01 4.848448e+01 3.175649e-03 -3.979575e-04
2.983647e+01 4.438588e+01 4.438322e+01 2.660647e-03 -4.115745e-04
3.125716e+01 4.061901e+01 4.061679e+01 2.224819e-03 -4.177917e-04
3.274549e+01 3.722874e+01 3.722688e+01 1.860175e-03 -4.151981e-04
3.430469e+01 3.418884e+01 3.418729e+01 1.554214e-03 -4.039828e-04
3.593814e+01 3.144461e+01 3.144331e+01 1.297853e-03 -3.845347e-04
3.764936e+01 2.892472e+01 2.892364e+01 1.084066e-03 -3.576465e-04
3.944206e+01 2.648748e+01 2.648658e+01 9.067377e-04 -3.229219e-04
4.132012e+01 2.421037e+01 2.420961e+01 7.581032e-04 -2.842558e-04
4.328761e+01 2.209108e+01 2.209045e+01 6.331661e-04 -2.363866e-04
4.534879e+01 2.012860e+01 2.012807e+01 5.282891e-04 -1.726814e-04
4.750810e+01 1.832083e+01 1.832039e+01 4.404979e-04 -8.751656e-05
4.977024e+01 1.665146e+01 1.665109e+01 3.669091e-04 1.644926e-05
5.214008e+01 1.511974e+01 1.511944e+01 3.055212e-04 1.241808e-04
5.462277e+01 1.372042e+01 1.372017e+01 2.542254e-04 2.248837e-04
5.722368e+01 1.244293e+01 1.244272e+01 2.114754e-04 3.149032e-04
5.994843e+01 1.127758e+01 1.127740e+01 1.759255e-04 3.926408e-04
6.280291e+01 1.021754e+01 1.021739e+01 1.462618e-04 4.530673e-04
6.579332e+01 9.250316e+00 9.250194e+00 1.214928e-04 4.953737e-04
6.892612e+01 8.377527e+00 8.377426e+00 1.009167e-04 5.234794e-04
7.220809e+01 7.588147e+00 7.588063e+00 8.382496e-05 5.383693e-04
7.564633e+01 6.872452e+00 6.872382e+00 6.961899e-05 5.412042e-04
7.924829e+01 6.224279e+00 6.224222e+00 5.780355e-05 5.329127e-04
8.302176e+01 5.639798e+00 5.639750e+00 4.799721e-05 5.090999e-04
8.697490e+01 5.113659e+00 5.113619e+00 3.984748e-05 4.738895e-04
9.111628e+01 4.637755e+00 4.637722e+00 3.307631e-05 4.323373e-04
9.545485e+01 4.206365e+00 4.206338e+00 2.745233e-05 3.886665e-04
1.000000e+02 3.815966e+00 3.815943e+00 2.278239e-05 3.455226e-04
1.011638e+02 3.724625e+00 3.724603e+00 2.174704e-05 3.334013e-04
1.084366e+02 3.224006e+00 3.223990e+00 1.646173e-05 2.595843e-04
1.162322e+02 2.799876e+00 2.799864e+00 1.248235e-05 1.850811e-04
1.245883e+02 2.434283e+00 2.434273e+00 9.446650e-06 1.167674e-04
1.335452e+02 2.125661e+00 2.125654e+00 7.164006e-06 5.898773e-05
1.431459e+02 1.848633e+00 1.848627e+00 5.430280e-06 1.176244e-05
1.534368e+02 1.596364e+00 1.596360e+00 4.111957e-06 -2.712635e-05
1.644676e+02 1.379425e+00 1.379422e+00 3.116235e-06 -5.827458e-05
1.762914e+02 1.193443e+00 1.193441e+00 2.357636e-06 -8.366373e-05
1.889652e+02 1.035208e+00 1.035206e+00 1.787344e-06 -1.039105e-04
2.025502e+02 8.978107e-01 8.978093e-01 1.351537e-06 -1.200761e-04
2.171118e+02 7.798994e-01 7.798984e-01 1.023934e-06 -1.328249e-04
2.327202e+02 6.776293e-01 6.776285e-01 7.754199e-07 -1.429060e-04
2.494508e+02 5.890566e-01 5.890560e-01 5.875135e-07 -1.508325e-04
2.673842e+02 5.120765e-01 5.120761e-01 4.450746e-07 -1.560639e-04
2.866068e+02 4.449858e-01 4.449854e-01 3.368294e-07 -1.597708e-04
3.072113e+02 3.869904e-01 3.869901e-01 2.551454e-07 -1.618876e-04
3.292971e+02 3.367673e-01 3.367671e-01 1.933596e-07 -1.626012e-04
3.529707e+02 2.929960e-01 2.929958e-01 1.464221e-07 -1.617285e-04
3.783463e+02 2.549062e-01 2.549061e-01 1.108827e-07 -1.602084e-04
4.055461e+02 2.218548e-01 2.218547e-01 8.402220e-08 -1.569057e-04
4.347013e+02 1.930700e-01 1.930700e-01 6.365457e-08 -1.532260e-04
4.659526e+02 1.680482e-01 1.680481e-01 4.822753e-08 -1.482308e-04
4.994505e+02 1.462550e-01 1.462550e-01 3.652310e-08 -1.427273e-04
5.353567e+02 1.273010e-01 1.273010e-01 2.766066e-08 -1.365594e-04
5.738442e+02 1.108101e-01 1.108101e-01 2.094896e-08 -1.297925e-04
6.150986e+02 9.648665e-02 9.648663e-02 1.587509e-08 -1.226214e-04
6.593188e+02 8.398195e-02 8.398194e-02 1.202157e-08 -1.152005e-04
7.067181e+02 7.310892e-02 7.310891e-02 9.104058e-09 -1.069934e-04
7.575250e+02 6.365846e-02 6.365845e-02 6.897977e-09 -9.919003e-05
8.119845e+02 5.541544e-02 5.541544e-02 5.225277e-09 -9.021127e-05
8.703591e+02 4.824933e-02 4.824933e-02 3.959207e-09 -8.050777e-05
9.329304e+02 4.200351e-02 4.200351e-02 2.999385e-09 -7.205155e-05
1.000000e+03 3.656578e-02 3.656577e-02 2.271631e-09 -5.575501e-05
