# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
1.000000e-03 5.776553e+02 2.730476e+02 3.046077e+02 9.999787e-01
1.071891e-03 6.703642e+02 3.243296e+02 3.460346e+02 9.999753e-01
1.148951e-03 7.641968e+02 3.827219e+02 3.814749e+02 9.999694e-01
1.231551e-03 8.644464e+02 4.487681e+02 4.156783e+02 9.999625e-01
1.320088e-03 9.726472e+02 5.221854e+02 4.504618e+02 9.999556e-01
1.414991e-03 1.076332e+03 6.038883e+02 4.724435e+02 9.999434e-01
1.516717e-03 1.147711e+03 6.559283e+02 4.917827e+02 9.999351e-01
1.625756e-03 1.133478e+03 6.460862e+02 4.873915e+02 9.999242e-01
1.742633e-03 1.166153e+03 6.239383e+02 5.422142e+02 9.999119e-01
1.867914e-03 1.369397e+03 7.239651e+02 6.454317e+02 9.998946e-01
2.002200e-03 1.539569e+03 8.345001e+02 7.050688e+02 9.998688e-01
2.146141e-03 1.684869e+03 9.533073e+02 7.315614e+02 9.998451e-01
2.300430e-03 1.604348e+03 8.791777e+02 7.251705e+02 9.998222e-01
2.465811e-03 1.680357e+03 8.377078e+02 8.426488e+02 9.997945e-01
2.643081e-03 1.965360e+03 9.622694e+02 1.003091e+03 9.997540e-01
2.833096e-03 2.200928e+03 1.101540e+03 1.099388e+03 9.996930e-01
3.036771e-03 2.425289e+03 1.247113e+03 1.178176e+03 9.996303e-01
3.255089e-03 2.642291e+03 1.398177e+03 1.244114e+03 9.995412e-01
3.489101e-03 2.858180e+03 1.560028e+03 1.298152e+03 9.994406e-01
3.739937e-03 3.065267e+03 1.729385e+03 1.335882e+03 9.992990e-01
4.008806e-03 3.258028e+03 1.902623e+03 1.355405e+03 9.991636e-01
4.297005e-03 2.593647e+03 1.362833e+03 1.230813e+03 9.990190e-01
4.605922e-03 2.183183e+03 1.016570e+03 1.166612e+03 9.988421e-01
4.937048e-03 2.472879e+03 1.120657e+03 1.352222e+03 9.986606e-01
5.291979e-03 2.804309e+03 1.230499e+03 1.573809e+03 9.984077e-01
5.672426e-03 3.094856e+03 1.346823e+03 1.748033e+03 9.980543e-01
6.080224e-03 3.371643e+03 1.468598e+03 1.903045e+03 9.976642e-01
6.517340e-03 3.635345e+03 1.594596e+03 2.040749e+03 9.973415e-01
6.985880e-03 3.887483e+03 1.727025e+03 2.160458e+03 9.968977e-01
7.488104e-03 4.061397e+03 1.791533e+03 2.269865e+03 9.964777e-01
8.026434e-03 4.333996e+03 1.930269e+03 2.403727e+03 9.956189e-01
8.603464e-03 4.577952e+03 2.076027e+03 2.501925e+03 9.947898e-01
9.221979e-03 4.804322e+03 2.226126e+03 2.578197e+03 9.938891e-01
9.884959e-03 5.001057e+03 2.380379e+03 2.620678e+03 9.928803e-01
1.059560e-02 5.087485e+03 2.541044e+03 2.546441e+03 9.918637e-01
1.135733e-02 5.158437e+03 2.434949e+03 2.723487e+03 9.905541e-01
1.217383e-02 5.409244e+03 2.591789e+03 2.817454e+03 9.885331e-01
1.304902e-02 5.584046e+03 2.724803e+03 2.859243e+03 9.864205e-01
1.398713e-02 5.767347e+03 2.823224e+03 2.944123e+03 9.838306e-01
1.499268e-02 5.993270e+03 2.971343e+03 3.021927e+03 9.806278e-01
1.607053e-02 6.206065e+03 3.126370e+03 3.079695e+03 9.768891e-01
1.722586e-02 6.414379e+03 3.285782e+03 3.128597e+03 9.724827e-01
1.846425e-02 6.605403e+03 3.455261e+03 3.150143e+03 9.675568e-01
1.979167e-02 6.731918e+03 3.535981e+03 3.195937e+03 9.620699e-01
2.121452e-02 6.954592e+03 3.681714e+03 3.272878e+03 9.550738e-01
2.273966e-02 7.169066e+03 3.840323e+03 3.328743e+03 9.471385e-01
