# column 1: lambda (micron)
# column 2: total kappa_ext (m2/kg)
# column 3: total kappa_abs (m2/kg)
# column 4: total kappa_sca (m2/kg)
# column 5: mean asymmpar
#lambda      ext          abs          sca          asy
1.000000e-03 6.777918e+02 3.547550e+02 3.230368e+02 9.999491e-01
1.071891e-03 7.814090e+02 4.200293e+02 3.613797e+02 9.999402e-01
1.148951e-03 8.844537e+02 4.934136e+02 3.910401e+02 9.999272e-01
1.231551e-03 9.929317e+02 5.756032e+02 4.173285e+02 9.999119e-01
1.320088e-03 1.106923e+03 6.659227e+02 4.410005e+02 9.998953e-01
1.414991e-03 1.214646e+03 7.646062e+02 4.500398e+02 9.998716e-01
1.516717e-03 1.255719e+03 8.087112e+02 4.470081e+02 9.998546e-01
1.625756e-03 1.155390e+03 7.451622e+02 4.102280e+02 9.998411e-01
1.742633e-03 1.100148e+03 6.529309e+02 4.472175e+02 9.998221e-01
1.867914e-03 1.296353e+03 7.507220e+02 5.456307e+02 9.997790e-01
2.002200e-03 1.447162e+03 8.566723e+02 5.904895e+02 9.997299e-01
2.146141e-03 1.557418e+03 9.674422e+02 5.899756e+02 9.996845e-01
2.300430e-03 1.300308e+03 7.513137e+02 5.489943e+02 9.996744e-01
2.465811e-03 1.252727e+03 5.787863e+02 6.739410e+02 9.996420e-01
2.643081e-03 1.519165e+03 6.641943e+02 8.549709e+02 9.995547e-01
2.833096e-03 1.720445e+03 7.621222e+02 9.583226e+02 9.994474e-01
3.036771e-03 1.911619e+03 8.653673e+02 1.046252e+03 9.993302e-01
3.255089e-03 2.099654e+03 9.745898e+02 1.125065e+03 9.991808e-01
3.489101e-03 2.294184e+03 1.094397e+03 1.199788e+03 9.989969e-01
3.739937e-03 2.492154e+03 1.223328e+03 1.268827e+03 9.987512e-01
4.008806e-03 2.689912e+03 1.359738e+03 1.330173e+03 9.984987e-01
4.297005e-03 2.799381e+03 1.424273e+03 1.375108e+03 9.981337e-01
4.605922e-03 2.948647e+03 1.512861e+03 1.435786e+03 9.977540e-01
4.937048e-03 3.200891e+03 1.668578e+03 1.532314e+03 9.973502e-01
5.291979e-03 3.454348e+03 1.832263e+03 1.622085e+03 9.968019e-01
5.672426e-03 3.690129e+03 2.005000e+03 1.685129e+03 9.960758e-01
6.080224e-03 3.919954e+03 2.185016e+03 1.734938e+03 9.952907e-01
6.517340e-03 4.143377e+03 2.370124e+03 1.773253e+03 9.945287e-01
6.985880e-03 4.357731e+03 2.563019e+03 1.794712e+03 9.935976e-01
